Source,Tweets,len,ID,Date,Source,Likes,RTs,SA
Xinhua,#BREAKING: 11 fall ill after hazmat incident at U.S. military base https://t.co/jjiVD02kBi,90,968656084432031000,2/28/2018 1:16,Twitter Web Client,16,18,-1
Xinhua,The proposal to write #XiJinping thought into China's Constitution is a common aspiration of CPC and Chinese people… https://t.co/RWUsknzxeg,140,968650173617528000,2/28/2018 0:52,SocialFlow,33,16,-1
Xinhua,"Avocado, chocolate, strawberries...
Climate change is killing your favorite foods https://t.co/Y7m3Ef2Lfo",105,968604342818402000,2/27/2018 21:50,SocialFlow,100,70,1
Xinhua,"U.S. designates 7 #IslamicState affiliated groups, 2 leaders as global terrorists https://t.co/W0s80F21wF https://t.co/nZgTvMxv9X",129,968596765002870000,2/27/2018 21:20,Twitter Web Client,37,9,0
Xinhua,"Bonobo, chimpanzee use gestures that share same meaning, study shows https://t.co/zvQWX2gdFk https://t.co/HMLnOiOO6D",116,968585260920340000,2/27/2018 20:34,SocialFlow,45,18,0
Xinhua,UN relief agencies help #Rohingya refugees brace for raining season in Bangladesh https://t.co/EwIVaGf0As https://t.co/xlef4J6U8w,129,968578535391727000,2/27/2018 20:08,SocialFlow,62,28,0
Xinhua,U.S. #FederalReserve officials expect 3 interest rate hikes this year due to strong momentum in economic expansion… https://t.co/SyT0a8tZAz,139,968570525709668000,2/27/2018 19:36,Twitter Web Client,29,9,1
Xinhua,Greece's #Piraeus port enters new era with increasing handling capacity as China's #COSCO Shipping Taurus giga cont… https://t.co/OC8Z7WOP2A,140,968565350823579000,2/27/2018 19:15,SocialFlow,60,32,1
Xinhua,"Russia said it is necessary to fully implement the Iran nuclear deal and it would be ""extremely dangerous"" to break… https://t.co/wo0xw4hkf8",140,968554567037345000,2/27/2018 18:32,SocialFlow,97,27,-1
Xinhua,At least 11 police officers were injured in clashes with protesters near the Ukrainian parliament… https://t.co/vtxozofM68,122,968542904393322000,2/27/2018 17:46,SocialFlow,57,35,-1
Xinhua,Egyptian court sentences pop star Sherine Abdel-Wahab to six months in jail over her previous remarks indicating th… https://t.co/u2g6cMKhej,140,968539715535241000,2/27/2018 17:33,SocialFlow,131,73,-1
Xinhua,"About 944,000 Chinese tourists visited Russia visa-free in 2017, up 23 percent year on year. Moscow &amp; St. Petersbur… https://t.co/u8Fwj7WTQ7",144,968539049412710000,2/27/2018 17:31,SocialFlow,100,49,1
Xinhua,U.S. federal judge dismisses lawsuit seeking to overturn the country's longstanding prohibition of marijuana https://t.co/DQPs5Gw3YY,132,968530914987921000,2/27/2018 16:58,SocialFlow,56,14,0
Xinhua,U.S. special envoy for #DPRK policy to retire for personal reasons: reports https://t.co/rCij0pBjYR https://t.co/sKezXmvcYN,123,968528690140368000,2/27/2018 16:50,SocialFlow,67,19,1
Xinhua,"Themed ""I bring you wine/for your dreaming story"", Chinese designer brings fashion brand #RICOSTRU on the last day… https://t.co/4X2r7YRN8x",139,968525986231980000,2/27/2018 16:39,Xinhua News Agency,60,12,0
Xinhua,"Press center ready for China's major political sessions. Over 1,000 reporters from overseas to cover the events… https://t.co/MuVV47R4jW",136,968522380871196000,2/27/2018 16:25,Xinhua News Agency,48,14,1
Xinhua,U.S. to host int'l meeting on mobilizing law enforcement efforts to defeat Islamic State #IS https://t.co/5EtLA3Y8Qt https://t.co/vYo2rXqExw,140,968518824487280000,2/27/2018 16:10,SocialFlow,93,21,0
Xinhua,"China's @Huawei used artificial intelligence capabilities of its #Mate10Pro phone to drive a sports car, in what it… https://t.co/iyjkz1iikb",140,968518615040315000,2/27/2018 16:10,Media Studio,99,55,-1
Xinhua,"Global population of polar bears could fall to fewer than 5,000 by 2100, scientists predict https://t.co/4DLD859o9F",115,968516967433940000,2/27/2018 16:03,SocialFlow,106,58,-1
Xinhua,China's newly established supervisory commissions to work under tight internal &amp; external oversight: official… https://t.co/jw2BH8UleD,138,968503369559085000,2/27/2018 15:09,Xinhua News Agency,36,10,-1
Xinhua,U.S. Federal Reserve chairman pledges to raise interest rate gradually https://t.co/Fdpbd8zLAV,94,968503241255383000,2/27/2018 15:09,SocialFlow,67,21,0
Xinhua,"Traditional Chinese cough syrup, Nin Jiom Pei Pa Koa, becomes popular among New Yorkers in flu season… https://t.co/HjjpWUFeHP",126,968502543700635000,2/27/2018 15:06,SocialFlow,98,45,1
Xinhua,"Looking for advice as a parent?
Here are some interesting ideas from different countries https://t.co/A1OgmcMuLI",112,968497544056786000,2/27/2018 14:46,SocialFlow,86,30,1
Xinhua,#FloridaSchoolShooting spurs calls for companies to cut ties with U.S. National Rifle Association @NRA https://t.co/MGA0q228OK,126,968496576351096000,2/27/2018 14:42,SocialFlow,91,26,0
Xinhua,China calls for direct dialogue between North Korea and the United States https://t.co/cCupMU9gze https://t.co/nV5iqHVdeu,121,968489895877595000,2/27/2018 14:15,Xinhua News Agency,109,45,1
Xinhua,China strives to meet prosperity deadlines https://t.co/ypk2exRNdK https://t.co/VN73nG3bx5,90,968488502857011000,2/27/2018 14:10,Xinhua News Agency,82,18,0
Xinhua,"Responding to outcries, South Sudan promises to halve work permit fees for foreign aid workers, previously hiked to… https://t.co/cZohgoGTbK",140,968487942267301000,2/27/2018 14:08,SocialFlow,57,13,-1
Xinhua,The first day of the Russian-proposed humanitarian pause ends with no civilians leaving the rebel-held Eastern Ghou… https://t.co/DcXkUSnzIM,140,968486029555576000,2/27/2018 14:00,SocialFlow,69,23,1
